iter	Logloss
0	0.6472888528
1	0.6090770946
2	0.5771272785
3	0.548826682
4	0.5272366565
5	0.5055397836
6	0.4881659044
7	0.4729692424
8	0.4583513122
9	0.4477023527
10	0.4364995712
11	0.4268877471
12	0.4191952411
13	0.4126070793
14	0.4059191256
15	0.4003731755
16	0.3947279704
17	0.3893050704
18	0.3854765484
19	0.3809467633
20	0.3770938027
21	0.3744067596
22	0.3711529513
23	0.3680026913
24	0.3653540006
25	0.3632039403
26	0.3598357237
27	0.3575406913
28	0.3559950774
29	0.3546279554
30	0.3526139127
31	0.3507106272
32	0.349643337
33	0.3478567771
34	0.3464782058
35	0.3450596485
36	0.3437845414
37	0.3427417735
38	0.3408930345
39	0.3394414506
40	0.3383435543
41	0.3370031817
42	0.3353215447
43	0.3341806352
44	0.3326538036
45	0.3317211513
46	0.330494221
47	0.3289036432
48	0.3282502476
49	0.3276431464
50	0.3267196326
51	0.3251126407
52	0.3244479749
53	0.3234717454
54	0.3225432627
55	0.3218210992
56	0.3210984269
57	0.3200168669
58	0.3188362119
59	0.3183016809
60	0.3176349532
61	0.3165510742
62	0.3156266413
63	0.314937643
64	0.3140401254
65	0.3133852698
66	0.3129255898
67	0.312252014
68	0.3115428425
69	0.3106028567
70	0.3097209656
71	0.3090320894
72	0.3084897432
73	0.3077904611
74	0.3065362141
75	0.3059408023
76	0.3044966422
77	0.3037862944
78	0.303036416
79	0.3027476301
80	0.3023511957
81	0.3013721563
82	0.3010148687
83	0.3004843735
84	0.2998958208
85	0.2991975481
86	0.298586858
87	0.2981308276
88	0.2970635248
89	0.2963893842
90	0.2958854646
91	0.2952670474
92	0.2946460463
93	0.2939291645
94	0.2934572037
95	0.2930103508
96	0.2926542983
97	0.2920149245
98	0.2917478759
99	0.2914128468
100	0.290875365
101	0.2906507996
102	0.2903149996
103	0.2897399795
104	0.288979816
105	0.2884854307
106	0.2879307284
107	0.2874698305
108	0.2871516212
109	0.2868205288
110	0.2861846022
111	0.2858200515
112	0.2854007154
113	0.2852093413
114	0.2847772515
115	0.2844321088
116	0.2842197384
117	0.2836559856
118	0.2832945619
119	0.2831232887
120	0.2829479019
121	0.282496992
122	0.2822275666
123	0.2817663055
124	0.2811423351
125	0.2808701362
126	0.2807020344
127	0.2800143452
128	0.2798373175
129	0.2796398066
130	0.2792688059
131	0.279094721
132	0.2787116317
133	0.2783770523
134	0.2780505422
135	0.2771843617
136	0.2768178683
137	0.2764496811
138	0.2762462696
139	0.2759102917
140	0.2755454574
141	0.2753137057
142	0.2751345861
143	0.274985815
144	0.274751113
145	0.2741241197
146	0.2737876621
147	0.2734373243
148	0.2731335897
149	0.2728994933
150	0.2727223403
151	0.2725549048
152	0.2722898772
153	0.2718684967
154	0.2714669707
155	0.27095348
156	0.2708067048
157	0.2706003826
158	0.2704450835
159	0.2703510679
160	0.2701846638
161	0.2697381843
162	0.2692711614
163	0.2691448471
164	0.2684818769
165	0.268216007
166	0.2680452341
167	0.2678864638
168	0.2674320593
169	0.2672594291
170	0.2669931626
171	0.2666434128
172	0.2660507052
173	0.2658604411
174	0.265754856
175	0.2654969385
176	0.2653627949
177	0.2650601812
178	0.2649312808
179	0.2646586305
180	0.2642273297
181	0.2640689311
182	0.2639051369
183	0.2637631709
184	0.262906594
185	0.2626701943
186	0.2625661141
187	0.2624083632
188	0.2622953685
189	0.2621942391
190	0.2620384424
191	0.2618972053
192	0.2617172103
193	0.2615273903
194	0.2613008832
195	0.2607619705
196	0.2606419821
197	0.26031038
198	0.2602269779
199	0.2599608408
200	0.2596789835
201	0.2595938494
