iter	Passed	Remaining
399	34199	51299
400	34311	51253
401	34419	51201
402	34511	51124
403	34592	51031
404	34676	50944
405	34794	50905
406	34914	50869
407	35021	50815
408	35127	50758
409	35212	50671
410	35286	50568
411	35362	50469
412	35443	50376
413	35519	50275
414	35590	50170
415	35671	50077
416	35756	49990
417	35836	49896
418	35914	49799
419	35992	49704
420	36064	49598
421	36138	49498
422	36212	49396
423	36289	49299
424	36362	49196
425	36438	49097
426	36508	48991
427	36586	48895
428	36665	48801
429	36742	48705
430	36829	48621
431	36907	48526
432	36987	48433
433	37072	48348
434	37187	48301
435	37302	48253
436	37442	48238
437	37555	48187
438	37682	48154
439	37793	48101
440	37893	48033
441	37989	47959
442	38064	47860
443	38149	47773
444	38233	47683
445	38363	47653
446	38478	47602
447	38593	47552
448	38692	47482
449	38771	47387
450	38863	47307
451	38973	47251
452	39086	47197
453	39198	47142
454	39295	47068
455	39381	46981
456	39464	46890
457	39548	46801
458	39622	46701
459	39698	46602
460	39776	46506
461	39850	46405
462	39953	46339
463	40049	46264
464	40158	46203
465	40265	46141
466	40369	46074
467	40446	45977
468	40523	45880
469	40599	45782
470	40673	45682
471	40753	45589
472	40827	45488
473	40909	45397
474	40985	45299
475	41069	45211
476	41147	45115
477	41244	45040
478	41344	44969
479	41458	44913
480	41583	44869
481	41745	44863
482	41864	44811
483	41990	44766
484	42109	44714
485	42227	44660
486	42320	44580
487	42409	44494
488	42493	44405
489	42579	44317
490	42668	44232
491	42784	44176
492	42959	44179
493	43090	44137
494	43183	44055
495	43265	43963
496	43343	43867
497	43480	43830
498	43599	43774
499	43718	43718
500	43824	43649
501	43926	43576
502	44005	43480
503	44092	43392
504	44177	43302
505	44299	43249
506	44413	43187
507	44536	43133
508	44642	43064
509	44766	43010
510	44904	42970
511	45032	42922
512	45119	42833
513	45207	42744
514	45287	42649
515	45364	42551
516	45443	42454
517	45522	42358
518	45612	42272
519	45795	42272
520	45935	42232
521	46064	42181
522	46244	42176
523	46404	42153
524	46563	42129
525	46718	42099
526	46865	42063
527	46987	42004
528	47120	41954
529	47317	41960
530	47542	41991
531	47720	41979
532	47847	41922
533	47958	41851
534	48062	41774
535	48169	41698
536	48255	41605
537	48343	41514
538	48427	41419
539	48504	41318
540	48664	41288
541	48812	41247
542	48948	41195
543	49061	41125
544	49178	41057
545	49282	40978
546	49370	40886
547	49477	40809
548	49549	40704
549	49626	40603
550	49731	40525
551	49810	40425
552	49890	40327
553	49966	40225
554	50057	40136
555	50157	40053
556	50365	40057
557	50528	40024
558	50651	39959
559	50768	39889
560	50947	39868
561	51105	39829
562	51224	39760
563	51339	39687
564	51479	39634
565	51592	39560
566	51735	39509
567	51856	39439
568	51993	39383
569	52132	39327
570	52258	39262
571	52365	39182
572	52446	39083
573	52556	39005
574	52654	38918
575	52739	38821
576	52816	38719
577	52902	38624
578	52981	38523
579	53067	38428
580	53169	38344
581	53287	38271
582	53384	38183
583	53464	38084
584	53537	37979
585	53630	37889
586	53719	37795
587	53797	37695
588	53873	37592
589	53953	37493
590	54028	37390
591	54110	37292
592	54186	37190
593	54261	37088
594	54339	36987
595	54411	36882
596	54493	36785
597	54570	36684
598	54644	36581
599	54722	36481
600	54817	36393
601	54914	36305
602	54997	36208
603	55072	36106
604	55153	36009
605	55227	35907
606	55301	35804
607	55377	35703
608	55463	35609
609	55570	35528
610	55684	35452
611	55790	35370
612	55879	35278
613	55951	35174
614	56039	35081
615	56131	34990
616	56210	34892
617	56286	34792
618	56389	34708
619	56509	34634
620	56712	34612
621	56867	34559
622	56992	34488
623	57075	34391
624	57166	34300
625	57248	34202
626	57329	34105
627	57414	34009
628	57493	33910
629	57567	33809
630	57649	33712
631	57775	33641
632	57904	33571
633	58020	33494
634	58118	33406
635	58206	33313
636	58283	33213
637	58359	33113
638	58436	33013
639	58512	32913
640	58592	32815
641	58704	32735
642	58828	32662
643	58944	32584
644	59045	32497
645	59136	32405
646	59214	32307
647	59300	32212
648	59374	32111
649	59457	32015
650	59535	31917
651	59615	31819
652	59690	31719
653	59781	31627
654	59862	31530
655	59942	31433
656	60030	31339
657	60115	31245
658	60197	31149
659	60283	31055
660	60359	30956
661	60436	30857
662	60510	30757
663	60587	30658
664	60671	30563
665	60780	30481
666	60889	30399
667	60961	30298
668	61037	30199
669	61117	30102
670	61190	30002
671	61266	29904
672	61357	29812
673	61463	29728
674	61563	29641
675	61651	29548
676	61762	29467
677	61879	29388
678	61973	29298
679	62046	29198
680	62123	29100
681	62204	29004
682	62285	28908
683	62361	28810
684	62438	28712
685	62512	28613
686	62587	28515
687	62670	28420
688	62753	28325
689	62831	28228
690	62912	28133
691	62983	28033
692	63060	27935
693	63141	27840
694	63213	27741
695	63286	27642
696	63363	27545
697	63447	27451
698	63522	27353
699	63595	27255
700	63666	27155
701	63747	27061
702	63824	26964
703	63910	26871
704	63994	26777
705	64066	26679
706	64142	26582
707	64216	26484
708	64290	26387
709	64364	26289
710	64448	26196
711	64522	26098
712	64598	26002
713	64670	25904
714	64837	25844
715	64962	25767
716	65083	25688
717	65201	25608
718	65316	25526
719	65443	25450
720	65554	25367
721	65666	25284
722	65781	25202
723	65922	25130
724	66023	25043
725	66147	24964
726	66260	24881
727	66386	24803
728	66490	24717
729	66633	24645
730	66754	24564
731	66867	24481
732	67004	24406
733	67122	24325
734	67232	24240
735	67370	24165
736	67499	24087
737	67604	24000
738	67749	23927
739	67866	23845
740	67989	23764
741	68121	23686
742	68246	23606
743	68361	23522
744	68445	23427
745	68520	23330
746	68597	23233
747	68677	23137
748	68764	23043
749	68835	22945
750	68913	22848
751	68992	22752
752	69081	22660
753	69161	22564
754	69237	22467
755	69311	22370
756	69384	22272
757	69500	22188
758	69618	22105
759	69758	22028
760	69875	21944
761	69992	21861
762	70091	21771
763	70181	21678
764	70272	21587
765	70420	21512
766	70541	21429
767	70668	21347
768	70786	21263
769	70883	21173
770	70961	21076
771	71077	20991
772	71228	20917
773	71355	20835
774	71464	20747
775	71567	20658
776	71643	20561
777	71724	20466
778	71804	20370
779	71937	20290
780	72051	20203
781	72178	20121
782	72323	20043
783	72426	19954
784	72531	19865
785	72612	19769
786	72729	19683
787	72863	19602
788	72982	19517
789	73096	19430
790	73206	19342
791	73299	19250
792	73374	19153
793	73458	19058
794	73534	18961
795	73611	18865
796	73693	18770
797	73792	18679
798	73872	18583
799	73951	18487
800	74023	18390
801	74102	18294
802	74182	18199
803	74258	18102
804	74339	18007
805	74413	17911
806	74497	17816
807	74577	17721
808	74658	17626
809	74730	17529
810	74801	17432
811	74881	17337
812	74961	17241
813	75047	17148
814	75124	17052
815	75204	16957
816	75281	16862
817	75363	16767
818	75444	16673
819	75531	16580
820	75609	16484
821	75684	16389
822	75763	16294
823	75843	16199
824	75914	16103
825	75992	16008
826	76063	15911
827	76132	15814
828	76217	15721
829	76293	15626
830	76367	15530
831	76450	15437
832	76571	15351
833	76698	15266
834	76799	15175
835	76884	15082
836	76964	14988
837	77045	14894
838	77120	14798
839	77198	14704
840	77277	14610
841	77352	14515
842	77426	14419
843	77506	14325
844	77635	14240
845	77754	14153
846	77876	14067
847	78002	13981
848	78114	13893
849	78246	13808
850	78343	13717
851	78438	13625
852	78522	13532
853	78599	13437
854	78678	13343
855	78763	13249
856	78844	13156
857	78925	13062
858	79009	12968
859	79094	12875
860	79169	12781
861	79252	12687
862	79333	12594
863	79410	12499
864	79488	12405
865	79570	12312
866	79645	12217
867	79723	12123
868	79799	12029
869	79875	11935
870	79959	11842
871	80036	11748
872	80111	11654
873	80184	11559
874	80259	11465
875	80341	11372
876	80416	11278
877	80493	11184
878	80572	11091
879	80647	10997
880	80730	10904
881	80809	10811
882	80888	10717
883	80967	10624
884	81038	10530
885	81118	10437
886	81200	10344
887	81277	10251
888	81355	10158
889	81436	10065
890	81567	9978
891	81685	9890
892	81840	9806
893	81940	9715
894	82046	9625
895	82139	9534
896	82216	9440
897	82290	9347
898	82362	9253
899	82437	9159
900	82516	9066
901	82591	8973
902	82675	8880
903	82750	8787
904	82824	8694
905	82900	8601
906	82975	8507
907	83055	8415
908	83138	8322
909	83213	8229
910	83292	8137
911	83372	8044
912	83445	7951
913	83521	7858
914	83603	7766
915	83683	7674
916	83766	7581
917	83844	7489
918	83947	7399
919	84065	7310
920	84185	7221
921	84316	7133
922	84425	7043
923	84507	6950
924	84584	6858
925	84672	6766
926	84751	6674
927	84864	6584
928	84979	6494
929	85084	6404
930	85232	6316
931	85345	6226
932	85464	6137
933	85565	6046
934	85693	5957
935	85822	5868
936	85963	5779
937	86113	5691
938	86217	5600
939	86321	5509
940	86451	5420
941	86591	5331
942	86716	5241
943	86829	5150
944	86933	5059
945	87028	4967
946	87110	4875
947	87188	4782
948	87265	4689
949	87345	4597
950	87458	4506
951	87573	4415
952	87716	4325
953	87853	4236
954	87959	4144
955	88061	4053
956	88144	3960
957	88225	3867
958	88304	3775
959	88382	3682
960	88464	3590
961	88538	3497
962	88620	3404
963	88693	3312
964	88772	3219
965	88851	3127
966	88920	3034
967	89000	2942
968	89077	2849
969	89149	2757
970	89224	2664
